etim_no,ticket_code,org_id,org_name
2840308178,5.0.6,3,MARGAO
2840304180,5.0.6,3,MARGAO
2840309030,5.0.6,3,MARGAO
2840308195,5.0.6,3,MARGAO
2840309042,5.0.6,3,MARGAO
2840303610,5.0.6,4,PANAJI
2840303631,5.0.6,4,PANAJI
2840305139,5.0.6,4,PANAJI
2840308173,5.0.6,7,PANAJI SMARTCITY
2840303691,5.0.6,7,PANAJI SMARTCITY
2840318346,5.0.6,7,PANAJI SMARTCITY
2840303793,5.0.6,7,PANAJI SMARTCITY
2840303942,5.0.6,7,PANAJI SMARTCITY
2840305502,5.0.6,6,PORVORIM
2840303801,5.0.6,6,PORVORIM
2840308648,5.0.6,6,PORVORIM
2840308630,5.0.6,6,PORVORIM
2840308873,5.0.6,6,PORVORIM
2840308844,5.0.6,6,PORVORIM
2840304138,5.0.6,6,PORVORIM
2840304417,5.0.6,6,PORVORIM
2840304441,5.0.6,5,VASCO
2840303769,5.0.6,5,VASCO
2840305526,5.0.6,5,VASCO
2840303411,5.0.6,5,VASCO
2840305498,5.0.6,5,VASCO
2840308650,5.0.6,5,VASCO
